rank	page_path	canonical_url	output_file	clicks	impressions	priority	status
1	/blog/top-modelling-agencies-brisbane-how-to-get-signed	https://www.dave-blake.com/blog/top-modelling-agencies-brisbane-how-to-get-signed/	./blog/top-modelling-agencies-brisbane-how-to-get-signed/index.html	145	12291	P0	created
2	/	https://www.dave-blake.com/	./index.html	138	2626	P0	created
3	/photographer/brisbane-fashion-photographer	https://www.dave-blake.com/photographer/brisbane-fashion-photographer/	./photographer/brisbane-fashion-photographer/index.html	25	1719	P1	created
4	/model-tests	https://www.dave-blake.com/model-tests/	./model-tests/index.html	19	1555	P1	created
5	/services/model-portfolios/brisbane	https://www.dave-blake.com/services/model-portfolios/brisbane/	./services/model-portfolios/brisbane/index.html	17	408	P1	created
6	/model-test-shoots/brisbane	https://www.dave-blake.com/model-test-shoots/brisbane/	./model-test-shoots/brisbane/index.html	15	800	P1	created
7	/photographer/swimwear-photography-sydney	https://www.dave-blake.com/photographer/swimwear-photography-sydney/	./photographer/swimwear-photography-sydney/index.html	11	137	P1	created
8	/services/model-portfolios/byron-bay	https://www.dave-blake.com/services/model-portfolios/byron-bay/	./services/model-portfolios/byron-bay/index.html	10	381	P1	created
9	/portfolio/fashion	https://www.dave-blake.com/portfolio/fashion/	./portfolio/fashion/index.html	5	332	P2	created
10	/blog	https://www.dave-blake.com/blog/	./blog/index.html	4	167	P2	created
