query	clicks	impressions	ctr	position
siobhan mcgroarty	72	2841	0.025343189017951427	2.1295318549806406
julia cavanagh nude	16	183	0.087431693989071038	5.1912568306010929
dave blake	9	450	0.02	3.8955555555555557
abigail o'neill	8	2641	0.0030291556228701248	1.0299129117758425
audrey bradford	7	271	0.025830258302583026	35.428044280442805
lacey nelson model	6	83	0.072289156626506021	4.19277108433735
siobhan mcgroarty age	6	109	0.055045871559633031	2.0550458715596331
carlie philby	4	71	0.056338028169014086	2.0140845070422535
abigail o'neill model	3	223	0.013452914798206279	1
alys hale	3	157	0.019108280254777069	4.10828025477707
isadora vieira	3	21288	0.00014092446448703494	1.0236283352123261
julia cavanagh	3	470	0.006382978723404255	4.4595744680851066
julia cavanagh leaks	3	11	0.27272727272727271	3.8181818181818183
model test shoot rates	3	59	0.050847457627118647	5.9661016949152543
siobhan mcgroarty ford models	3	50	0.06	1.3
julia cavanagh leak	2	18	0.1111111111111111	7.2777777777777777
abigail o neill	1	392	0.0025510204081632651	6.7602040816326534
audreybradford	1	7	0.14285714285714285	53.714285714285715
barbara di creddo	1	77	0.012987012987012988	9.7532467532467528
brisbane fashion photographer	1	178	0.0056179775280898875	24.668539325842698
caroline lowe model	1	2	0.5	36.5
fashion photographer brisbane	1	99	0.010101010101010102	31.979797979797979
frankie scotney	1	7	0.14285714285714285	20.285714285714285
isabelle van der tuin	1	35	0.028571428571428571	10.771428571428572
julia cavanagh bellazon	1	17	0.058823529411764705	2.9411764705882355
julia cavanagh lingerie	1	1	1	13
julia cavanagh model	1	16	0.0625	3.125
julia newbery	1	33	0.030303030303030304	2.3636363636363633
kane anderson	1	540	0.0018518518518518519	3.0962962962962961
lacey nelson	1	185	0.0054054054054054057	3.345945945945946
millicent lambert	1	55	0.018181818181818181	5.2
model photographer nyc	1	40	0.025	34.725
mollye rogel	1	35	0.028571428571428571	12
olivia vinten	1	455	0.0021978021978021978	16.094505494505494
silka kurzak	1	3	0.33333333333333331	19.666666666666668
siobhan mcgroarty nude	1	20	0.05	6.8
vixenraw	1	48	0.020833333333333332	61.395833333333336
$140usd to aud	0	2	0	39.5
2020 photography models	0	1	0	66
3 month photography course	0	6	0	8.5
_charlotte_raw insta	0	1	0	9
abbie o'neill	0	46	0	1
abby o	0	1	0	1
abby o neill	0	30	0	22.333333333333332
abby o'neill	0	611	0	4.9165302782324058
abby o'neill model	0	27	0	1
abby oneil	0	134	0	3.1417910447761193
abby oneill	0	200	0	4.8450000000000006
abby oniel	0	6	0	3
abby oniell	0	7	0	4.5714285714285712
abby o’neill	0	33	0	7.1212121212121211
abby_oneill	0	29	0	3.103448275862069
abigail blake photography	0	57	0	54.771929824561404
abigail model	0	28	0	2.4285714285714288
abigail o	0	58	0	1.396551724137931
abigail o neil	0	21	0	10.285714285714286
abigail o neill model	0	26	0	32.5
abigail o'neil	0	9	0	1
abigail o'neill australia model	0	2	0	40.5
abigail oneal	0	28	0	6.2857142857142856
abigail oneil	0	254	0	1.0433070866141732
abigail oneil model	0	22	0	1
abigail oneill	0	391	0	1.0255754475703325
abigail oneill model	0	7	0	1
abigail oniel	0	35	0	1
abigail oniell	0	1	0	1
abigail o’neill	0	460	0	1.0869565217391304
alicia herbeth nude	0	6	0	40
alison brie	0	1	0	1
alt swim	0	9	0	49.888888888888886
ana de armas	0	1	0	1
andy kovszun	0	3	0	38.333333333333336
anna kondratjeva	0	12	0	1.1666666666666667
annabella barber	0	8	0	33.875
annie ericson	0	1	0	54
anouk bibi daddo	0	6	0	24.166666666666668
anthony blake photography	0	1	0	3
arthur paulo vieira	0	4	0	1
audrey bradford cam	0	1	0	46
audrey bradfort	0	1	0	42
audry bradford	0	1	0	34
aydee nude	0	1	0	19
bagarra	0	1	0	70
balistarz	0	3	0	6.333333333333333
barbara di creddo instagram	0	1	0	22
beach photography sydney	0	2	0	62.5
beatrice mcbride	0	1	0	32
beauty photography course	0	59	0	51.508474576271183
beginner photography mentoring	0	2	0	99
beth claverie	0	28	0	26.392857142857142
beth hells kitchen	0	1	0	80
beth hurrel	0	1	0	10
beth hurrell	0	146	0	3.5616438356164384
bianca markovic	0	5	0	76.2
big fashion photographers	0	2	0	102
bikini models photographer gold coast	0	33	0	75.545454545454547
bikini photographer	0	61	0	45.131147540983605
bikini photographer gold coast	0	31	0	19.161290322580644
bilder von kult models	0	1	0	4
blake dave	0	6	0	4.5
blake daves	0	33	0	6.9090909090909092
blake hoffman nude	0	2	0	15
blake lane nyc	0	13	0	82.384615384615387
blake mcnamara	0	1	0	1
blake photo	0	1	0	16
blake photography	0	5	0	4.6
blake vixen	0	64	0	9.296875
blake vixen.com	0	3	0	5.666666666666667
blake wood photographer	0	1	0	11
blake.com	0	2	0	87.5
blake_m_davies	0	2	0	6
bridget mcmahon	0	4	0	90.5
brisbane fashion videographer	0	5	0	74
brontesun	0	1	0	19
byron anderson model	0	6	0	1
byron bay camera	0	1	0	66
byron bay model	0	3	0	6.666666666666667
byron bay model agency	0	11	0	9.9090909090909083
byron bay models	0	32	0	11.09375
byron bay photographer	0	47	0	71.468085106382972
byron bay photographers	0	54	0	73.740740740740748
byron bay photography	0	28	0	68.214285714285708
byron bay photoshoot locations	0	10	0	81.3
byron gym	0	1	0	103
byron model	0	1	0	1
camera and equipment rental	0	1	0	82
cane anderson	0	4	0	3
car fashion photography	0	1	0	81
caroline lowe	0	103	0	14.281553398058252
caroline lowe age	0	4	0	61.75
caroline raw	0	2	0	57.5
carriageworks bay 22-24	0	1	0	57
charlotte coquelin	0	26	0	44.53846153846154
chaye hartwell	0	34	0	8.5294117647058822
chelsea donaldson	0	10	0	58.3
chiara dorward	0	5	0	10.4
chloe worthington	0	3	0	4.6666666666666661
city chic orion	0	3	0	46.666666666666664
clean living inc	0	6	0	78.5
commercial model portfolio	0	1	0	97
cost of portfolio shoot	0	1	0	78
cross process ektachrome	0	5	0	78.2
cross processed ektachrome	0	2	0	77.5
cross processing ektachrome	0	5	0	61
dallys models	0	5	0	58.8
dave bl*nt	0	1	0	11
dave black	0	12	0	86.083333333333329
dave black photography	0	13	0	44.92307692307692
dave photo	0	4	0	44.5
dave photographer	0	1	0	67
dave photography	0	22	0	59.272727272727273
david ballam photography	0	3	0	8.6666666666666679
david black photographer	0	1	0	75
david black photography	0	4	0	67
david blake	0	12	0	84.333333333333329
david blakes	0	1	0	58
davidblake	0	25	0	39.4
drey bradford	0	21	0	29.904761904761905
e100 film 35mm	0	2	0	11
ebony let	0	5	0	9.8
egith	0	5	0	41
egith van dinther	0	1	0	1
ehlana	0	4	0	85.5
ektachrome 100 35mm	0	3	0	92
ektachrome 35mm	0	19	0	89.473684210526315
ektachrome cross process	0	6	0	63.666666666666664
ektachrome e100	0	26	0	82.615384615384613
ektachrome e100 35mm	0	4	0	98.5
elle brittain nude	0	2	0	9
elle mcnamara	0	10	0	54.6
enzo & toto	0	5	0	10.6
enzo & toto byron bay	0	4	0	14.5
enzo and toto	0	38	0	16.657894736842103
enzo and toto byron bay	0	6	0	19.833333333333332
equipment hire byron bay	0	14	0	49.928571428571431
erin foster	0	1	0	1
fashion model portfolio photography	0	120	0	79.36666666666666
fashion model test	0	8	0	34.875
fashion photographer	0	1	0	42
fashion photographer gold coast	0	158	0	37
fashion photographer nyc	0	1	0	90
fashion photographer portfolio	0	8	0	86.875
fashion photographer rates	0	5	0	80.8
fashion photographer sydney	0	74	0	93.337837837837839
fashion photographers in nyc	0	1	0	101
fashion photographers model portfolio	0	10	0	85.3
fashion photographers sydney	0	2	0	86
fashion photography gold coast	0	117	0	38.589743589743591
fashion photography new york	0	1	0	46
fashion photography packages	0	2	0	36.5
fashion photography portfolios	0	1	0	96
fashion photography workshops nyc	0	2	0	77.5
fashion test	0	1	0	99
felix daddo	0	1	0	1
film equipment hire	0	90	0	91.36666666666666
film equipment rental	0	4	0	98.75
fitness photographer gold coast	0	63	0	44
fitness photographer sydney	0	23	0	93.173913043478265
fitness photography gold coast	0	37	0	42.54054054054054
frankie bon scotney	0	21	0	7.7619047619047619
georgia jones model	0	3	0	50
georgia jones nude	0	2	0	65.5
glamour fashion photographer gold coast	0	32	0	68.3125
glamour modeling examples	0	13	0	69.230769230769226
gold coast fitness photographer	0	59	0	50.66101694915254
gold coast lifestyle photographer	0	170	0	90.129411764705878
gold coast model photography	0	1	0	97
gold coast photographer	0	1	0	71
gold coast swimwear	0	4	0	95.25
gymshark photography	0	8	0	85
hale model	0	9	0	4.2222222222222223
hannah claverie	0	3	0	36.666666666666664
hansen and gretel david jones	0	1	0	79
hire profoto equipment	0	9	0	79.888888888888886
how much does a modelling portfolio cost	0	1	0	88
ilona novacek	0	33	0	22.757575757575758
ingrid vieira	0	3	0	1
international photographer	0	6	0	88
isabella van der tuin	0	1	0	13
isadora blake	0	1	0	33
isadora vieira mae	0	1	0	1
jayde heath	0	6	0	15
jayde stella	0	13	0	22.46153846153846
jessica pecoraro	0	1	0	89
jodi lee model	0	2	0	34
johnathan blake	0	1	0	10
jordan barrett balenciaga	0	2	0	18
jordan barrett fashion show	0	2	0	55.5
jordan barrett model	0	1	0	87
jordan barrett runway	0	3	0	45.333333333333336
julia cavanagh age	0	35	0	2.1428571428571428
julia cavanagh leaked	0	19	0	5.5789473684210522
julia cavanagh naked	0	11	0	9.0909090909090917
julia cavanagh nudes	0	4	0	7
julia cavanagh playboy	0	5	0	4.2
julia cavanagh series mag	0	2	0	10
julia cavanagh sexy	0	1	0	10
julia cavanagh tits	0	2	0	8
julia cavanagh topless	0	4	0	6.75
julia cavanaugh	0	4	0	42
julia cavanaugh nude	0	8	0	4.625
julia cavangh	0	11	0	2.3636363636363633
julia durham	0	125	0	1.312
julia model	0	20	0	1.45
julia newberry	0	2	0	7
julia_cavanagh	0	15	0	3.0666666666666669
julia_cavanagh nude	0	4	0	5
julsnewbs	0	1	0	31
kat harron	0	2	0	10
kateraw	0	1	0	41
kirsten clemens	0	12	0	14.166666666666666
kodak 80s	0	1	0	81
kodak blake	0	1	0	1
kodak ektachrome 35mm	0	6	0	83.833333333333329
kodak ektachrome e100	0	37	0	85.837837837837839
kodak ektachrome e100 35mm	0	3	0	93
kodak ektachrome e100 photos	0	3	0	78.666666666666671
kodak ektachrome e100 review	0	1	0	92
kristen clemens	0	1	0	11
kult models	0	1	0	10
kult models sydney	0	4	0	52
lacey hell's kitchen instagram	0	1	0	10
lacey hells kitchen	0	3	0	56
lacey model	0	2	0	1
laceynelson	0	12	0	54.5
lacy nelson	0	3	0	11
laura wells bikini	0	1	0	1
lauren johansen-bell	0	1	0	1
lifestyle photographer gold coast	0	1	0	79
lucy markovic	0	15	0	45.266666666666666
lucy markovic model	0	1	0	73
maddie jade coates	0	1	0	1
maja elmstrom	0	20	0	26.35
marcus bleasdale photography	0	1	0	92
mari lederman	0	3	0	1
marvell lane	0	1	0	9
marvell lane brisbane	0	1	0	57
marvell lane byron bay	0	1	0	81
marvell lane swim	0	1	0	69
marvell lane swimwear	0	1	0	48
mavrick agency	0	4	0	84
mentor photography	0	3	0	66.666666666666671
mentorship photography	0	3	0	100
mia hawkswell	0	5	0	62.2
mia hawkswell makeup	0	4	0	59.5
miami swim week 2019 models	0	1	0	91
michelle bagarra	0	7	0	23
michelle bagarra nude	0	2	0	36
michelle beaute	0	1	0	1
millie lambert	0	10	0	2.4
model abigail	0	4	0	9.5
model abigail o'neill	0	23	0	1
model agencies gold coast	0	2	0	97.5
model agency byron bay	0	16	0	8.25
model and photographer	0	1	0	99
model go see	0	2	0	55.5
model go sees	0	1	0	85
model headshots nyc	0	2	0	39.5
model photographer	0	1	0	55
model photographer gold coast	0	16	0	90.25
model photographers nyc	0	1	0	7
model photography course	0	34	0	32.735294117647058
model photography courses	0	3	0	14.666666666666666
model photography gold coast	0	1	0	96
model photography sydney	0	61	0	41.311475409836063
model photography workshops	0	8	0	11
model photoshoot price	0	6	0	71.833333333333329
model portfolio brisbane	0	4	0	53
model portfolio gold coast	0	6	0	34.5
model portfolio northen nsw	0	6	0	4
model portfolio photographer	0	63	0	84.984126984126988
model portfolio photographer near me	0	1	0	21
model portfolio photographer nyc	0	3	0	9.6666666666666661
model portfolio photographers	0	143	0	74.944055944055947
model portfolio photography	0	27	0	86.074074074074076
model portfolio photography nyc	0	24	0	28.291666666666668
model portfolio photography prices	0	98	0	53.234693877551024
model portfolio price	0	2	0	63.5
model portfolio prices	0	1	0	90
model portfolio pricing	0	9	0	81.555555555555557
model test photoshoot	0	5	0	41.8
model test shoot	0	40	0	34.1
model test shoots	0	6	0	37.166666666666664
model test shots	0	1	0	41
model with photographer	0	1	0	99
modeling agencies	0	1	0	32
modeling photographers in nyc	0	7	0	42.428571428571431
modeling photography course	0	1	0	89
modeling portfolio cost	0	5	0	87.4
modeling portfolio photographer	0	2	0	85
modeling portfolio photographers	0	4	0	74.75
modeling portfolio photographers nyc	0	28	0	27.071428571428573
modeling portfolio prices	0	4	0	80.5
modeling test shoot	0	12	0	50.583333333333336
modelling agency	0	1	0	13
modelling photographer	0	17	0	93.470588235294116
modelling portfolio cost	0	6	0	83.333333333333329
modelling portfolio packages	0	37	0	93.891891891891888
modelling portfolio photographer	0	4	0	80
modelling portfolio photographers	0	2	0	80
monet print dress	0	1	0	9
monika clarke	0	72	0	61.097222222222221
monika clarke age	0	5	0	31.2
monika clarke instagram	0	2	0	69.5
monika clarke model	0	2	0	77
monika dave photos	0	3	0	3.6666666666666665
monika fliss	0	1	0	61
natyse chan	0	2	0	27.5
nelson lacey	0	2	0	5
nuvu magazine	0	2	0	95.5
nyc model photographer	0	2	0	19
nyc model photographers	0	1	0	61
o'neill model	0	3	0	1
ocean mystery swimwear	0	1	0	17
olivia o vinten	0	2	0	1
olivia vinten hair	0	1	0	1
olivia vinten nude	0	3	0	29
ollie picton jones	0	2	0	78.5
onebyone clothing	0	15	0	70.066666666666663
paola aru	0	3	0	53
paula cristina vieira	0	1	0	1
photo equipment hire	0	1	0	94
photo mentorship	0	2	0	83.5
photographer byron bay	0	1	0	68
photographer for model	0	41	0	74.341463414634148
photographer for model portfolio	0	3	0	67.666666666666671
photographer for model shoot	0	1	0	76
photographer for modeling portfolio	0	4	0	85
photographer for modelling portfolio	0	3	0	90
photographer mentor	0	21	0	71.714285714285708
photographer mentorship	0	4	0	65.5
photographer portfolio	0	1	0	185
photographers byron bay	0	8	0	105.5
photographers for model portfolio	0	2	0	68.5
photographers for modeling portfolios	0	2	0	95.5
photography byron bay	0	2	0	73.5
photography equipment list and prices	0	1	0	96
photography lighting rental near me	0	1	0	11
photography mentor	0	328	0	84.3719512195122
photography mentoring	0	159	0	81.289308176100633
photography mentoring program	0	1	0	76
photography mentors	0	10	0	81
photography mentorship	0	40	0	97.475
photography mentorships	0	9	0	97.444444444444443
photography students looking for models	0	2	0	29
photoshoot equipment rental	0	4	0	57
photoshoot portfolio package	0	95	0	58.536842105263155
portfolio model agency	0	1	0	74
portfolio modelling agency	0	1	0	76
portfolio packages	0	9	0	56.222222222222221
portfolio photographers near me	0	1	0	19
portfolio photoshoot price	0	1	0	60
portfolio shoot price	0	7	0	48.142857142857146
priscillas models sydney	0	2	0	84.5
professional photographer for model portfolio	0	1	0	89
promotional models byron bay	0	3	0	85
que models	0	17	0	58.1764705882353
quemodels	0	1	0	30
roberta pecoraro	0	4	0	64
robin gallant	0	74	0	66.378378378378372
robin gallant gymshark	0	8	0	32.125
robin gallant instagram	0	3	0	78
robin gymshark	0	2	0	4
robingallantt	0	3	0	41.333333333333336
scoop management	0	18	0	50.777777777777779
scoop model management	0	3	0	71.666666666666671
scoop models sydney	0	1	0	42
steph claire smith age	0	4	0	62.5
steph rayner	0	2	0	1
stephanie meehan brisbane	0	1	0	123
stroller hire byron bay	0	1	0	62
susi collins	0	1	0	3
susie collins	0	510	0	2.3647058823529412
swim photographer	0	9	0	80.222222222222229
swimwear galore gold coast	0	1	0	50
swimwear galore sydney	0	2	0	71.5
swimwear gold coast	0	49	0	96.877551020408163
swimwear photographer	0	147	0	66.238095238095241
swimwear photographer gold coast	0	62	0	19.5
swimwear photography	0	4	0	44.75
swimwear photography gold coast	0	58	0	15.603448275862069
sydney fashion photographer	0	68	0	91.32352941176471
sydney fashion photographers	0	1	0	24
tash sefton age	0	1	0	75
test photoshoot	0	2	0	52.5
test shoot	0	5	0	63.2
test shoot model	0	20	0	43
test shoot photography	0	3	0	49.666666666666664
test shoots	0	1	0	74
test shoots for models	0	4	0	50.5
the blake nyc	0	1	0	84
toni garrn	0	1	0	1
urban fashion photography	0	1	0	77
vacation ferrari girl	0	1	0	1
victoria germyn	0	44	0	36.159090909090907
victoria germyn model	0	1	0	1
